"","country","region","category","sex","year","homicide_rate"
"135","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2017,0.0757489679203121
"136","Grenada","Americas","Intimate partner or family member","Male",2017,0
"137","Guatemala","Americas","Intimate partner or family member","Male",2017,0.0365344448572837
"138","Guyana","Americas","Intimate partner or family member","Male",2017,0.267893978279156
"139","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2017,0
"140","Honduras","Americas","Intimate partner or family member","Male",2017,0.0822066906381377
"141","Croatia","Europe","Intimate partner or family member","Male",2017,0.0491843513100498
"142","Hungary","Europe","Intimate partner or family member","Male",2017,0.106979858046287
"143","Iceland","Europe","Intimate partner or family member","Male",2017,0
"144","Italy","Europe","Intimate partner or family member","Male",2017,0.0342841411334097
"145","Jamaica","Americas","Intimate partner or family member","Male",2017,0.286833345523751
"146","Jordan","Asia","Intimate partner or family member","Male",2017,0
"147","Saint Kitts and Nevis","Americas","Intimate partner or family member","Male",2017,4.29728626372446
"148","Saint Lucia","Americas","Intimate partner or family member","Male",2017,3.40787104615961
"149","Lithuania","Europe","Intimate partner or family member","Male",2017,0.296088157287951
"150","Latvia","Europe","Intimate partner or family member","Male",2017,0.111247884204302
"151","Morocco","Africa","Intimate partner or family member","Male",2017,0.123032548764091
"152","Mexico","Americas","Intimate partner or family member","Male",2017,0.00665262773722992
"153","North Macedonia","Europe","Intimate partner or family member","Male",2017,0.379563179714625
"154","Malta","Europe","Intimate partner or family member","Male",2017,0
"155","Montenegro","Europe","Intimate partner or family member","Male",2017,0
"156","Mongolia","Asia","Intimate partner or family member","Male",2017,0.129988470022709
"157","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2017,0.0468402119941155
"158","New Zealand","Oceania","Intimate partner or family member","Male",2017,0.0857066578217396
"159","Oman","Asia","Intimate partner or family member","Male",2017,0.0675466646132481
"160","Panama","Americas","Intimate partner or family member","Male",2017,0.292553489748682
"161","Philippines","Asia","Intimate partner or family member","Male",2017,0.00923846347797035
"162","Puerto Rico","Americas","Intimate partner or family member","Male",2017,0.124905150151604
"163","Paraguay","Americas","Intimate partner or family member","Male",2017,0.0313054693785551
"164","Russian Federation","Europe","Intimate partner or family member","Male",2017,0.942104884803459
"165","El Salvador","Americas","Intimate partner or family member","Male",2017,0.234137909235436
"166","Suriname","Americas","Intimate partner or family member","Male",2017,0
"167","Slovakia","Europe","Intimate partner or family member","Male",2017,0.301424986624266
"168","Slovenia","Europe","Intimate partner or family member","Male",2017,0
"169","Sweden","Europe","Intimate partner or family member","Male",2017,0.0198128870942816
"170","Trinidad and Tobago","Americas","Intimate partner or family member","Male",2017,0.549416965583835
"171","Uruguay","Americas","Intimate partner or family member","Male",2017,0.0604355955988382
"172","Albania","Europe","Intimate partner or family member","Male",2018,0.208158566869899
"173","Argentina","Americas","Intimate partner or family member","Male",2018,0.245600108173203
"174","Antigua and Barbuda","Americas","Intimate partner or family member","Male",2018,2.28751815717537
"175","Bahamas","Americas","Intimate partner or family member","Male",2018,1.55717963624284
"176","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2018,0.179615228258026
"177","Belarus","Europe","Intimate partner or family member","Male",2018,0.357116631390239
"178","Belize","Americas","Intimate partner or family member","Male",2018,0
"179","Bolivia (Plurinational State of)","Americas","Intimate partner or family member","Male",2018,0.0171446568419782
"180","Barbados","Americas","Intimate partner or family member","Male",2018,0.746622466616643
"181","Bhutan","Asia","Intimate partner or family member","Male",2018,0
"182","Canada","Americas","Intimate partner or family member","Male",2018,0.114187963174926
"183","Switzerland","Europe","Intimate partner or family member","Male",2018,0.0236859339896706
"184","Chile","Americas","Intimate partner or family member","Male",2018,0.0646461163845582
"185","Colombia","Americas","Intimate partner or family member","Male",2018,0.00821994771702255
"186","Germany","Europe","Intimate partner or family member","Male",2018,0.0684683124981813
"187","Dominica","Americas","Intimate partner or family member","Male",2018,0
"188","Dominican Republic","Americas","Intimate partner or family member","Male",2018,0.978402412851113
"189","Algeria","Africa","Intimate partner or family member","Male",2018,0.0468107748854388
"190","Ecuador","Americas","Intimate partner or family member","Male",2018,0.293784081156795
"191","Spain","Europe","Intimate partner or family member","Male",2018,0.0261515189368815
"192","Finland","Europe","Intimate partner or family member","Male",2018,0.367484663027589
"193","France","Europe","Intimate partner or family member","Male",2018,0.0707743931425532
"194","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2018,0.0513430468216754
"195","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2018,0
"196","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2018,0.0377536431321781
"197","Georgia","Asia","Intimate partner or family member","Male",2018,0
"198","Grenada","Americas","Intimate partner or family member","Male",2018,0
"199","Guatemala","Americas","Intimate partner or family member","Male",2018,0.0718937238216978
"200","Guyana","Americas","Intimate partner or family member","Male",2018,0.518081027872759
"201","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2018,0.0289319872629819
"202","Honduras","Americas","Intimate partner or family member","Male",2018,0.0202067922707403
"203","Croatia","Europe","Intimate partner or family member","Male",2018,0.0990033824505614
"204","Hungary","Europe","Intimate partner or family member","Male",2018,0.064184605194075
"205","Iceland","Europe","Intimate partner or family member","Male",2018,0
"206","Italy","Europe","Intimate partner or family member","Male",2018,0.0205874222927746
"207","Jamaica","Americas","Intimate partner or family member","Male",2018,0.214897404397517
"208","Saint Kitts and Nevis","Americas","Intimate partner or family member","Male",2018,0
"209","Saint Lucia","Americas","Intimate partner or family member","Male",2018,1.13231047953349
"210","Lithuania","Europe","Intimate partner or family member","Male",2018,0.447345229734143
"211","Latvia","Europe","Intimate partner or family member","Male",2018,0.224296969187204
"212","Morocco","Africa","Intimate partner or family member","Male",2018,0.132689641140866
"213","Republic of Moldova","Europe","Intimate partner or family member","Male",2018,0.0669346282952754
"214","Mexico","Americas","Intimate partner or family member","Male",2018,0.0148306429558302
"215","Malta","Europe","Intimate partner or family member","Male",2018,0
"216","Montenegro","Europe","Intimate partner or family member","Male",2018,0
"217","Mongolia","Asia","Intimate partner or family member","Male",2018,0.0635997186348448
"218","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2018,0.0233029590913058
"219","New Zealand","Oceania","Intimate partner or family member","Male",2018,0.251721988167388
"220","Oman","Asia","Intimate partner or family member","Male",2018,0.0336545321885408
"221","Panama","Americas","Intimate partner or family member","Male",2018,0.527524046704102
"222","Peru","Americas","Intimate partner or family member","Male",2018,0.137827840747698
"223","Philippines","Asia","Intimate partner or family member","Male",2018,0.00544741231572766
"224","Puerto Rico","Americas","Intimate partner or family member","Male",2018,0.190335885737561
"225","Paraguay","Americas","Intimate partner or family member","Male",2018,0.0308858748393162
"226","State of Palestine","Asia","Intimate partner or family member","Male",2018,0
"227","Russian Federation","Europe","Intimate partner or family member","Male",2018,0.958157059419533
"228","El Salvador","Americas","Intimate partner or family member","Male",2018,0.534709497342995
"229","Suriname","Americas","Intimate partner or family member","Male",2018,0
"230","Slovakia","Europe","Intimate partner or family member","Male",2018,0.15044918484751
"231","Slovenia","Europe","Intimate partner or family member","Male",2018,0
"232","Sweden","Europe","Intimate partner or family member","Male",2018,0.0783544622670375
"233","Trinidad and Tobago","Americas","Intimate partner or family member","Male",2018,0.134498086764716
"234","Uruguay","Americas","Intimate partner or family member","Male",2018,0.18096064769435
"235","Saint Vincent and the Grenadines","Americas","Intimate partner or family member","Male",2018,0
"236","Zimbabwe","Africa","Intimate partner or family member","Male",2018,0.338695876928079
"237","United Arab Emirates","Asia","Intimate partner or family member","Male",2019,0
"238","Argentina","Americas","Intimate partner or family member","Male",2019,0.234727267228417
"239","Antigua and Barbuda","Americas","Intimate partner or family member","Male",2019,4.54948704533564
"240","Australia","Oceania","Intimate partner or family member","Male",2019,0.103347513407154
"241","Bahamas","Americas","Intimate partner or family member","Male",2019,1.54849499190911
"242","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2019,0
"243","Belarus","Europe","Intimate partner or family member","Male",2019,0.179063373213731
"244","Belize","Americas","Intimate partner or family member","Male",2019,0
"245","Bolivia (Plurinational State of)","Americas","Intimate partner or family member","Male",2019,0
"246","Bhutan","Asia","Intimate partner or family member","Male",2019,0
"247","Canada","Americas","Intimate partner or family member","Male",2019,0.101925085920165
"248","Switzerland","Europe","Intimate partner or family member","Male",2019,0.0235116203832582
"249","Chile","Americas","Intimate partner or family member","Male",2019,0
"250","Colombia","Americas","Intimate partner or family member","Male",2019,0.00807125269594974
"251","Czechia","Europe","Intimate partner or family member","Male",2019,0.019270525807859
"252","Germany","Europe","Intimate partner or family member","Male",2019,0.0804415411819251
"253","Dominica","Americas","Intimate partner or family member","Male",2019,0
"254","Dominican Republic","Americas","Intimate partner or family member","Male",2019,0.365469625728038
"255","Algeria","Africa","Intimate partner or family member","Male",2019,0.0137887271915493
"256","Ecuador","Americas","Intimate partner or family member","Male",2019,0.172955182584751
"257","Spain","Europe","Intimate partner or family member","Male",2019,0.017313815238564
"258","Estonia","Europe","Intimate partner or family member","Male",2019,0
"259","Finland","Europe","Intimate partner or family member","Male",2019,0.146748116763074
"260","France","Europe","Intimate partner or family member","Male",2019,0.06422349364759
"261","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2019,0.0306304679426798
"262","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2019,0.107213656446704
"263","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2019,0.0751031823846988
"264","Grenada","Americas","Intimate partner or family member","Male",2019,0
"265","Guatemala","Americas","Intimate partner or family member","Male",2019,0.0708166397858505
"266","Guyana","Americas","Intimate partner or family member","Male",2019,1.01827549952777
"267","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2019,0
"268","Honduras","Americas","Intimate partner or family member","Male",2019,0.099368137884818
"269","Croatia","Europe","Intimate partner or family member","Male",2019,0.049813200498132
"270","Hungary","Europe","Intimate partner or family member","Male",2019,0.213739472529455
"271","Iceland","Europe","Intimate partner or family member","Male",2019,0
"272","Italy","Europe","Intimate partner or family member","Male",2019,0.0412509218291938
"273","Jamaica","Americas","Intimate partner or family member","Male",2019,0.214798622711231
"274","Jordan","Asia","Intimate partner or family member","Male",2019,0
"275","Saint Kitts and Nevis","Americas","Intimate partner or family member","Male",2019,0
"276","Saint Lucia","Americas","Intimate partner or family member","Male",2019,1.12889751868325
"277","Lithuania","Europe","Intimate partner or family member","Male",2019,0.375407786708312
"278","Latvia","Europe","Intimate partner or family member","Male",2019,0.226116066507519
"279","Morocco","Africa","Intimate partner or family member","Male",2019,0.229736841371142
"280","Republic of Moldova","Europe","Intimate partner or family member","Male",2019,0.0676563894355901
"281","Mexico","Americas","Intimate partner or family member","Male",2019,0.0294179035301631
"282","North Macedonia","Europe","Intimate partner or family member","Male",2019,0.0948193549060008
"283","Malta","Europe","Intimate partner or family member","Male",2019,0
"284","Montenegro","Europe","Intimate partner or family member","Male",2019,1.30130814000774
"285","Mongolia","Asia","Intimate partner or family member","Male",2019,0.871679446109975
"286","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2019,0.0463807801757414
"287","New Zealand","Oceania","Intimate partner or family member","Male",2019,0.122362526720917
"288","Panama","Americas","Intimate partner or family member","Male",2019,0.283218991532696
"289","Peru","Americas","Intimate partner or family member","Male",2019,0.036881810149407
"290","Philippines","Asia","Intimate partner or family member","Male",2019,0.00892679659012081
"291","Paraguay","Americas","Intimate partner or family member","Male",2019,0
"292","Russian Federation","Europe","Intimate partner or family member","Male",2019,0.862666021479143
"293","El Salvador","Americas","Intimate partner or family member","Male",2019,0.0668328800393245
"294","Suriname","Americas","Intimate partner or family member","Male",2019,0.667921245405954
"295","Slovakia","Europe","Intimate partner or family member","Male",2019,0.187753796194005
"296","Slovenia","Europe","Intimate partner or family member","Male",2019,0.0945115266257873
"297","Sweden","Europe","Intimate partner or family member","Male",2019,0.0387344224678243
"298","Trinidad and Tobago","Americas","Intimate partner or family member","Male",2019,0.265993879480833
"299","Uruguay","Americas","Intimate partner or family member","Male",2019,0.542447414243584
"300","Saint Vincent and the Grenadines","Americas","Intimate partner or family member","Male",2019,0
"301","Zimbabwe","Africa","Intimate partner or family member","Male",2019,0.262721602214605
"302","United Arab Emirates","Asia","Intimate partner or family member","Male",2020,0
"303","Argentina","Americas","Intimate partner or family member","Male",2020,0.219760486185542
"304","Armenia","Asia","Intimate partner or family member","Male",2020,0
"305","Antigua and Barbuda","Americas","Intimate partner or family member","Male",2020,2.26062777633349
"306","Bahamas","Americas","Intimate partner or family member","Male",2020,1.0282459152931
"307","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2020,0.183727275232645
"308","Belize","Americas","Intimate partner or family member","Male",2020,0
"309","Bolivia (Plurinational State of)","Americas","Intimate partner or family member","Male",2020,0
"310","Bhutan","Asia","Intimate partner or family member","Male",2020,0
"311","Canada","Americas","Intimate partner or family member","Male",2020,0.122167947783507
"312","Switzerland","Europe","Intimate partner or family member","Male",2020,0.0233317506629134
"313","Chile","Americas","Intimate partner or family member","Male",2020,0
"314","Colombia","Americas","Intimate partner or family member","Male",2020,0.011933369791104
"315","Czechia","Europe","Intimate partner or family member","Male",2020,0.0192771641749326
"316","Germany","Europe","Intimate partner or family member","Male",2020,0.0753974094082493
"317","Dominica","Americas","Intimate partner or family member","Male",2020,0
"318","Dominican Republic","Americas","Intimate partner or family member","Male",2020,0.542742608659784
"319","Algeria","Africa","Intimate partner or family member","Male",2020,0.0496997682183537
"320","Ecuador","Americas","Intimate partner or family member","Male",2020,0.182021963680247
"321","Spain","Europe","Intimate partner or family member","Male",2020,0.0344638376767031
"322","Estonia","Europe","Intimate partner or family member","Male",2020,0.952622132111225
"323","France","Europe","Intimate partner or family member","Male",2020,0.0930197438897014
"324","United Kingdom (England and Wales)","Europe","Intimate partner or family member","Male",2020,0.03384513724237
"325","United Kingdom (Northern Ireland)","Europe","Intimate partner or family member","Male",2020,0.107048616129015
"326","United Kingdom (Scotland)","Europe","Intimate partner or family member","Male",2020,0.0750409348299497
"327","Greece","Europe","Intimate partner or family member","Male",2020,0.0388275101451431
"328","Grenada","Americas","Intimate partner or family member","Male",2020,0
"329","Guatemala","Americas","Intimate partner or family member","Male",2020,0.0581511718798611
"330","Guyana","Americas","Intimate partner or family member","Male",2020,0.512952696784684
"331","China, Hong Kong Special Administrative Region","Asia","Intimate partner or family member","Male",2020,0
"332","Honduras","Americas","Intimate partner or family member","Male",2020,0.0195580621167964
"333","Croatia","Europe","Intimate partner or family member","Male",2020,0
"334","Hungary","Europe","Intimate partner or family member","Male",2020,0.128410722552155
"335","Iceland","Europe","Intimate partner or family member","Male",2020,0
"336","Italy","Europe","Intimate partner or family member","Male",2020,0.0172485660145915
"337","Jamaica","Americas","Intimate partner or family member","Male",2020,0
"338","Jordan","Asia","Intimate partner or family member","Male",2020,0
"339","Saint Kitts and Nevis","Americas","Intimate partner or family member","Male",2020,0
"340","Saint Lucia","Americas","Intimate partner or family member","Male",2020,0
"341","Lithuania","Europe","Intimate partner or family member","Male",2020,0.605510600598396
"342","Latvia","Europe","Intimate partner or family member","Male",2020,0
"343","China, Macao Special Administrative Region","Asia","Intimate partner or family member","Male",2020,0
"344","Morocco","Africa","Intimate partner or family member","Male",2020,0.140731052350003
"345","Mexico","Americas","Intimate partner or family member","Male",2020,0.0129896592083345
"346","North Macedonia","Europe","Intimate partner or family member","Male",2020,0.189954268509856
"347","Malta","Europe","Intimate partner or family member","Male",2020,0
"348","Montenegro","Europe","Intimate partner or family member","Male",2020,0
"349","Mongolia","Asia","Intimate partner or family member","Male",2020,0.183363435497327
"350","Netherlands (Kingdom of the)","Europe","Intimate partner or family member","Male",2020,0.0461791061248965
"351","Panama","Americas","Intimate partner or family member","Male",2020,0.0930721295042839
"352","Peru","Americas","Intimate partner or family member","Male",2020,0.00606081469956057
"353","Paraguay","Americas","Intimate partner or family member","Male",2020,0.0902531148606266
"354","Russian Federation","Europe","Intimate partner or family member","Male",2020,0.946141319333753
"355","El Salvador","Americas","Intimate partner or family member","Male",2020,0
"356","Suriname","Americas","Intimate partner or family member","Male",2020,0.660817331916981
"357","Slovakia","Europe","Intimate partner or family member","Male",2020,0.33775276572605
"358","Slovenia","Europe","Intimate partner or family member","Male",2020,0.0940736427290011
"359","Sweden","Europe","Intimate partner or family member","Male",2020,0.0766423448572124
"360","Tajikistan","Asia","Intimate partner or family member","Male",2020,0.0833074733051615
"361","Trinidad and Tobago","Americas","Intimate partner or family member","Male",2020,0.400440751787467
"362","Uruguay","Americas","Intimate partner or family member","Male",2020,0.0602349403613855
"363","Saint Vincent and the Grenadines","Americas","Intimate partner or family member","Male",2020,1.87146760489576
"364","Zimbabwe","Africa","Intimate partner or family member","Male",2020,0.324973392803464
"365","United Arab Emirates","Asia","Intimate partner or family member","Male",2021,0.0153561781052534
"366","Argentina","Americas","Intimate partner or family member","Male",2021,0.191837167898075
"367","Antigua and Barbuda","Americas","Intimate partner or family member","Male",2021,0
"368","Bahamas","Americas","Intimate partner or family member","Male",2021,1.02549640435323
"369","Bosnia and Herzegovina","Europe","Intimate partner or family member","Male",2021,0.0621053206870339
"370","Belize","Americas","Intimate partner or family member","Male",2021,0.496942560894099
"371","Bolivia (Plurinational State of)","Americas","Intimate partner or family member","Male",2021,0.0165056076976873
"372","Canada","Americas","Intimate partner or family member","Male",2021,0.121307978489036
"373","Switzerland","Europe","Intimate partner or family member","Male",2021,0.0231803968020325
"374","Chile","Americas","Intimate partner or family member","Male",2021,0
"375","Colombia","Americas","Intimate partner or family member","Male",2021,0.00786929355227072
"376","Czechia","Europe","Intimate partner or family member","Male",2021,0.0772733480938307
"377","Germany","Europe","Intimate partner or family member","Male",2021,0.0340185718561293
"378","Dominica","Americas","Intimate partner or family member","Male",2021,2.77473327876358
"379","Dominican Republic","Americas","Intimate partner or family member","Male",2021,0.25079609847258
"380","Algeria","Africa","Intimate partner or family member","Male",2021,0.0400049001557702
"381","Ecuador","Americas","Intimate partner or family member","Male",2021,0.157536400754599
