IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0,,,0,,0,0.0 [0.0 - 0.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,0,,0,0.0 [0.0 - 0.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0,,,0,,0,0.0 [0.0 - 0.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.003,,,0,,0.03,0.0 [0.0 - 0.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.011,,,0,,0.11,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.022,,,0,,0.091,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.031,,,0,,0.12,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.018,,,0,,0.089,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,NER,Niger,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.033,,,0,,0.13,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.023,,,0,,0.12,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.01,,,0,,0.12,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.021,,,0,,0.11,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.01,,,0,,0.068,0.0 [0.0 - 0.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.02,,,0,,0.2,0.0 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.012,,,0,,0.17,0.0 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.018,,,0,,0.21,0.0 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.021,,,0,,0.31,0.0 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.044,,,0,,0.29,0.0 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.057,,,0,,0.23,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,COM,Comoros,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.05,,,0,,0.16,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.059,,,0,,0.2,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.053,,,0,,0.18,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.073,,,0.0002,,0.22,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.062,,,0,,0.21,0.1 [0.0 - 0.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,DZA,Algeria,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.12,,,0.002,,0.29,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.091,,,0,,0.26,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,GIN,Guinea,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.15,,,0.003,,0.35,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.1,,,0,,0.32,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.12,,,0,,0.31,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.099,,,0,,0.28,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SEN,Senegal,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.1,,,0,,0.29,0.1 [0.0 - 0.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.092,,,0,,0.38,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.074,,,0,,0.36,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.084,,,0,,0.43,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.092,,,0,,0.44,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,TON,Tonga,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.12,,,0,,0.38,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.13,,,0,,0.5,0.1 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,NER,Niger,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.13,,,0,,0.51,0.1 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.077,,,0,,0.52,0.1 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.13,,,0,,0.62,0.1 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.15,,,0,,0.73,0.1 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,GMB,Gambia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.19,,,0.004,,0.45,0.2 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,TJK,Tajikistan,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.2,,,0.014,,0.42,0.2 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.2,,,0,,0.48,0.2 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.23,,,0.043,,0.48,0.2 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.17,,,0,,0.65,0.2 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.17,,,0,,0.57,0.2 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.16,,,0,,0.67,0.2 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.18,,,0,,0.75,0.2 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,COM,Comoros,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.23,,,0,,0.74,0.2 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.24,,,0,,0.78,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.23,,,0,,0.75,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.25,,,0,,0.76,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.17,,,0,,0.79,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.23,,,0,,0.88,0.2 [0.0 - 0.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,NER,Niger,Year,2020,true,Sex,Male,SEX_MLE,,,,,,,,,,0.22,,,0,,0.88,0.2 [0.0 - 0.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.26,,,0.004,,0.57,0.3 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.27,,,0.024,,0.58,0.3 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,ERI,Eritrea,Year,2020,true,Sex,Female,SEX_FMLE,,,,,,,,,,0.32,,,0.034,,0.67,0.3 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.29,,,0.0008,,0.88,0.3 [0.0 - 0.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-21T04:00:00.000Z
